,State_Name,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Area_in_hectares,Production_in_tons,Yield_ton_per_hec
75,andhra pradesh,rabi,rice,80,40,40,5.48,288.3,25.46,116300,393500,3.383490972
76,andhra pradesh,rabi,sesamum,30,15,30,6.44,288.3,25.46,2400,300,0.125
77,andhra pradesh,kharif,cotton,120,40,20,5.52,654.34,29.26666667,90400,116900,1.293141593
78,andhra pradesh,kharif,jowar,80,40,40,5.56,654.34,29.26666667,9600,10400,1.083333333
79,andhra pradesh,kharif,maize,80,40,20,5.4,654.34,29.26666667,1000,1700,1.7
80,andhra pradesh,kharif,moong,20,40,20,5.56,654.34,29.26666667,3000,1200,0.4
81,andhra pradesh,kharif,rice,80,40,40,5.34,654.34,29.26666667,66300,176900,2.668174962
82,andhra pradesh,kharif,sunflower,50,60,30,5.62,654.34,29.26666667,81700,46200,0.565483476
83,andhra pradesh,rabi,horsegram,20,60,20,6.08,288.3,25.46,2000,600,0.3
84,andhra pradesh,rabi,jowar,80,40,40,5.66,288.3,25.46,113800,107200,0.942003515
85,andhra pradesh,rabi,maize,80,40,20,5.48,288.3,25.46,100,200,2
86,andhra pradesh,rabi,moong,20,40,20,5.66,288.3,25.46,500,200,0.4
87,andhra pradesh,rabi,rice,80,40,40,5.4,288.3,25.46,9000,23900,2.655555556
88,andhra pradesh,rabi,sunflower,50,60,30,5.38,288.3,25.46,61100,34300,0.561374795
89,andhra pradesh,rabi,wheat,60,30,30,6.7,288.3,25.46,600,300,0.5
90,andhra pradesh,kharif,cotton,120,40,20,5.32,654.34,29.26666667,39900,47500,1.19047619
91,andhra pradesh,kharif,jowar,80,40,40,5.58,654.34,29.26666667,3700,2100,0.567567568
92,andhra pradesh,kharif,maize,80,40,20,5.34,654.34,29.26666667,1800,8100,4.5
93,andhra pradesh,kharif,moong,20,40,20,5.6,654.34,29.26666667,6000,2300,0.383333333
94,andhra pradesh,kharif,rice,80,40,40,5.68,654.34,29.26666667,62000,124300,2.00483871
95,andhra pradesh,kharif,sesamum,30,15,30,6.46,654.34,29.26666667,3700,700,0.189189189
96,andhra pradesh,kharif,sunflower,50,60,30,5.52,654.34,29.26666667,14100,7000,0.496453901
97,andhra pradesh,rabi,horsegram,20,60,20,6.1,288.3,25.46,2500,900,0.36
98,andhra pradesh,rabi,jowar,80,40,40,5.56,288.3,25.46,4200,8100,1.928571429
99,andhra pradesh,rabi,maize,80,40,20,5.38,288.3,25.46,4700,17600,3.744680851
100,andhra pradesh,rabi,moong,20,40,20,5.48,288.3,25.46,4700,2000,0.425531915
101,andhra pradesh,rabi,ragi,50,40,20,5.68,288.3,25.46,4600,5800,1.260869565
102,andhra pradesh,rabi,rice,80,40,40,5.46,288.3,25.46,74200,222100,2.993261456
103,andhra pradesh,rabi,sesamum,30,15,30,6.5,288.3,25.46,2500,100,0.04
104,andhra pradesh,rabi,sunflower,50,60,30,5.46,288.3,25.46,600,200,0.333333333
105,andhra pradesh,kharif,cotton,120,40,20,5.56,654.34,29.26666667,8700,20900,2.402298851
106,andhra pradesh,kharif,maize,80,40,20,5.62,654.34,29.26666667,100,100,1
107,andhra pradesh,kharif,moong,20,40,20,5.32,654.34,29.26666667,300,100,0.333333333
108,andhra pradesh,kharif,ragi,50,40,20,5.5,654.34,29.26666667,300,200,0.666666667
109,andhra pradesh,kharif,rice,80,40,40,5.34,654.34,29.26666667,48700,127600,2.620123203
110,andhra pradesh,kharif,sesamum,30,15,30,6.54,654.34,29.26666667,1100,200,0.181818182
111,andhra pradesh,kharif,sunflower,50,60,30,5.56,654.34,29.26666667,3000,1500,0.5
112,andhra pradesh,rabi,horsegram,20,60,20,6.18,288.3,25.46,600,300,0.5
113,andhra pradesh,rabi,jowar,80,40,40,5.4,288.3,25.46,300,200,0.666666667
114,andhra pradesh,rabi,moong,20,40,20,5.68,288.3,25.46,6300,1900,0.301587302
115,andhra pradesh,rabi,ragi,50,40,20,5.62,288.3,25.46,400,900,2.25
116,andhra pradesh,rabi,rice,80,40,40,5.32,288.3,25.46,182100,544600,2.99066447
117,andhra pradesh,rabi,sesamum,30,15,30,6.42,288.3,25.46,2200,200,0.090909091
118,andhra pradesh,rabi,sunflower,50,60,30,5.68,288.3,25.46,200,100,0.5
119,andhra pradesh,kharif,cotton,120,40,20,5.34,654.34,29.26666667,800,1900,2.375
120,andhra pradesh,kharif,jowar,80,40,40,5.54,654.34,29.26666667,300,200,0.666666667
121,andhra pradesh,kharif,maize,80,40,20,5.42,654.34,29.26666667,200,400,2
122,andhra pradesh,kharif,ragi,50,40,20,5.56,654.34,29.26666667,4700,5300,1.127659574
123,andhra pradesh,kharif,rice,80,40,40,5.68,654.34,29.26666667,185700,278500,1.499730749
124,andhra pradesh,kharif,sesamum,30,15,30,6.42,654.34,29.26666667,4100,500,0.12195122
125,andhra pradesh,rabi,horsegram,20,60,20,5.9,288.3,25.46,17300,11200,0.647398844
126,andhra pradesh,rabi,jowar,80,40,40,5.48,288.3,25.46,400,200,0.5
127,andhra pradesh,rabi,moong,20,40,20,5.44,288.3,25.46,23300,10800,0.463519313
128,andhra pradesh,rabi,ragi,50,40,20,5.58,288.3,25.46,1400,2000,1.428571429
129,andhra pradesh,rabi,rice,80,40,40,5.52,288.3,25.46,600,2100,3.5
130,andhra pradesh,rabi,sesamum,30,15,30,6.66,288.3,25.46,2000,200,0.1
131,andhra pradesh,kharif,cotton,120,40,20,5.4,654.34,29.26666667,1500,3500,2.333333333
132,andhra pradesh,kharif,jowar,80,40,40,5.32,654.34,29.26666667,1300,700,0.538461538
133,andhra pradesh,kharif,maize,80,40,20,5.68,654.34,29.26666667,6400,6500,1.015625
134,andhra pradesh,kharif,moong,20,40,20,5.38,654.34,29.26666667,2500,1000,0.4
135,andhra pradesh,kharif,ragi,50,40,20,5.44,654.34,29.26666667,35800,14600,0.407821229
136,andhra pradesh,kharif,rice,80,40,40,5.58,654.34,29.26666667,95600,79700,0.833682008
137,andhra pradesh,kharif,sesamum,30,15,30,6.36,654.34,29.26666667,4100,600,0.146341463
138,andhra pradesh,rabi,horsegram,20,60,20,5.84,288.3,25.46,6700,3200,0.47761194
139,andhra pradesh,rabi,jowar,80,40,40,5.6,288.3,25.46,100,100,1
140,andhra pradesh,rabi,maize,80,40,20,5.32,288.3,25.46,300,1100,3.666666667
141,andhra pradesh,rabi,moong,20,40,20,5.4,288.3,25.46,2700,1100,0.407407407
142,andhra pradesh,rabi,ragi,50,40,20,5.62,288.3,25.46,2000,3900,1.95
143,andhra pradesh,rabi,rice,80,40,40,5.48,288.3,25.46,2700,8700,3.222222222
144,andhra pradesh,rabi,sesamum,30,15,30,6.34,288.3,25.46,9300,900,0.096774194
145,andhra pradesh,kharif,cotton,120,40,20,5.38,654.34,29.26666667,4200,10100,2.404761905
146,andhra pradesh,kharif,jowar,80,40,40,5.54,654.34,29.26666667,600,300,0.5
147,andhra pradesh,kharif,maize,80,40,20,5.56,654.34,29.26666667,500,800,1.6
148,andhra pradesh,kharif,moong,20,40,20,5.68,654.34,29.26666667,500,200,0.4
149,andhra pradesh,kharif,ragi,50,40,20,5.62,654.34,29.26666667,10000,11700,1.17
150,andhra pradesh,kharif,rice,80,40,40,5.42,654.34,29.26666667,130500,185600,1.422222222
151,andhra pradesh,kharif,sesamum,30,15,30,6.64,654.34,29.26666667,7300,1700,0.232876712
152,andhra pradesh,rabi,horsegram,20,60,20,6.04,288.3,25.46,38700,14500,0.374677003
153,andhra pradesh,rabi,jowar,80,40,40,5.38,288.3,25.46,200,300,1.5
154,andhra pradesh,rabi,maize,80,40,20,5.42,288.3,25.46,1800,6800,3.777777778
155,andhra pradesh,rabi,moong,20,40,20,5.44,288.3,25.46,20800,4100,0.197115385
156,andhra pradesh,rabi,ragi,50,40,20,5.52,288.3,25.46,2300,3500,1.52173913
157,andhra pradesh,rabi,rice,80,40,40,5.36,288.3,25.46,1000,3200,3.2
158,andhra pradesh,rabi,sesamum,30,15,30,6.54,288.3,25.46,17200,1600,0.093023256
159,andhra pradesh,kharif,cotton,120,40,20,5.52,654.34,29.26666667,3400,8200,2.411764706
160,andhra pradesh,kharif,maize,80,40,20,5.4,654.34,29.26666667,800,1400,1.75
161,andhra pradesh,kharif,rice,80,40,40,5.42,654.34,29.26666667,247200,630400,2.550161812
162,andhra pradesh,kharif,sesamum,30,15,30,6.36,654.34,29.26666667,1500,500,0.333333333
163,andhra pradesh,kharif,sunflower,50,60,30,5.68,654.34,29.26666667,800,400,0.5
164,andhra pradesh,rabi,horsegram,20,60,20,6.04,288.3,25.46,1100,300,0.272727273
165,andhra pradesh,rabi,jowar,80,40,40,5.34,288.3,25.46,300,500,1.666666667
166,andhra pradesh,rabi,maize,80,40,20,5.68,288.3,25.46,8900,33600,3.775280899
167,andhra pradesh,rabi,rice,80,40,40,5.42,288.3,25.46,193600,678100,3.502582645
168,arunachal pradesh,kharif,maize,80,40,20,5.58,1712.66,11.2,1520,2725,1.792763158
169,arunachal pradesh,kharif,rice,80,40,40,5.34,1712.66,11.2,11500,13800,1.2
170,arunachal pradesh,kharif,sesamum,30,15,30,6.36,1712.66,11.2,424,313,0.738207547
171,arunachal pradesh,kharif,soyabean,20,60,20,5.44,1712.66,11.2,373,450,1.206434316
172,arunachal pradesh,kharif,sunflower,50,60,30,5.68,1712.66,11.2,51,24,0.470588235
173,arunachal pradesh,rabi,rapeseed,50,40,20,5.14,241.78,1.18,4205,3300,0.784780024
174,arunachal pradesh,rabi,wheat,60,30,30,6.3,241.78,1.18,240,260,1.083333333
175,arunachal pradesh,kharif,maize,80,40,20,5.66,1712.66,11.2,5212,7557,1.449923254
176,arunachal pradesh,kharif,rice,80,40,40,5.58,1712.66,11.2,10310,12400,1.20271581
177,arunachal pradesh,kharif,sesamum,30,15,30,6.38,1712.66,11.2,130,100,0.769230769
178,arunachal pradesh,kharif,soyabean,20,60,20,5.56,1712.66,11.2,290,653,2.251724138
179,arunachal pradesh,kharif,sunflower,50,60,30,5.68,1712.66,11.2,20,10,0.5
180,arunachal pradesh,rabi,rapeseed,50,40,20,4.96,241.78,1.18,2780,2700,0.971223022
181,arunachal pradesh,rabi,wheat,60,30,30,6.12,241.78,1.18,196,294,1.5
182,arunachal pradesh,kharif,maize,80,40,20,5.68,1712.66,11.2,1485,2652,1.785858586
183,arunachal pradesh,kharif,rice,80,40,40,5.52,1712.66,11.2,8945,9200,1.028507546
184,arunachal pradesh,kharif,sesamum,30,15,30,6.34,1712.66,11.2,215,75,0.348837209
185,arunachal pradesh,kharif,soyabean,20,60,20,5.5,1712.66,11.2,88,195,2.215909091
186,arunachal pradesh,kharif,sunflower,50,60,30,5.32,1712.66,11.2,40,30,0.75
187,arunachal pradesh,rabi,rapeseed,50,40,20,4.94,241.78,1.18,270,290,1.074074074
188,arunachal pradesh,rabi,wheat,60,30,30,6.12,241.78,1.18,19,81,4.263157895
189,arunachal pradesh,kharif,maize,80,40,20,5.32,1712.66,11.2,2332,4196,1.799313894
190,arunachal pradesh,kharif,rice,80,40,40,5.6,1712.66,11.2,10200,15525,1.522058824
191,arunachal pradesh,kharif,sesamum,30,15,30,6.68,1712.66,11.2,98,80,0.816326531
192,arunachal pradesh,kharif,soyabean,20,60,20,5.54,1712.66,11.2,291,223,0.766323024
193,arunachal pradesh,kharif,sunflower,50,60,30,5.5,1712.66,11.2,22,15,0.681818182
194,arunachal pradesh,rabi,rapeseed,50,40,20,5.18,241.78,1.18,3315,3400,1.025641026
195,arunachal pradesh,rabi,wheat,60,30,30,6.8,241.78,1.18,447,670,1.498881432
196,arunachal pradesh,kharif,maize,80,40,20,5.54,1712.66,11.2,7375,6099,0.826983051
197,arunachal pradesh,kharif,rice,80,40,40,5.4,1712.66,11.2,15070,19600,1.300597213
198,arunachal pradesh,kharif,sesamum,30,15,30,6.56,1712.66,11.2,95,70,0.736842105
199,arunachal pradesh,kharif,soyabean,20,60,20,5.36,1712.66,11.2,187,405,2.165775401
200,arunachal pradesh,kharif,sunflower,50,60,30,5.4,1712.66,11.2,40,20,0.5
201,arunachal pradesh,rabi,rapeseed,50,40,20,5.08,241.78,1.18,6700,6600,0.985074627
202,arunachal pradesh,rabi,wheat,60,30,30,6.5,241.78,1.18,250,300,1.2
203,arunachal pradesh,kharif,maize,80,40,20,5.5,1712.66,11.2,3794,6876,1.812335266
204,arunachal pradesh,kharif,rice,80,40,40,5.5,1712.66,11.2,21064,19900,0.94473984
205,arunachal pradesh,kharif,sesamum,30,15,30,6.32,1712.66,11.2,31,20,0.64516129
206,arunachal pradesh,kharif,soyabean,20,60,20,5.44,1712.66,11.2,69,70,1.014492754
207,arunachal pradesh,kharif,sunflower,50,60,30,5.58,1712.66,11.2,27,10,0.37037037
208,arunachal pradesh,rabi,rapeseed,50,40,20,4.9,241.78,1.18,940,1000,1.063829787
209,arunachal pradesh,rabi,wheat,60,30,30,6.3,241.78,1.18,33,56,1.696969697
210,arunachal pradesh,kharif,maize,80,40,20,5.68,1712.66,11.2,1460,2305,1.578767123
211,arunachal pradesh,kharif,rice,80,40,40,5.48,1712.66,11.2,6938,8400,1.210723551
212,arunachal pradesh,kharif,sesamum,30,15,30,6.5,1712.66,11.2,230,83,0.360869565
213,arunachal pradesh,kharif,soyabean,20,60,20,5.5,1712.66,11.2,255,200,0.784313725
214,arunachal pradesh,kharif,sunflower,50,60,30,5.58,1712.66,11.2,70,23,0.328571429
215,arunachal pradesh,rabi,rapeseed,50,40,20,4.9,241.78,1.18,420,275,0.654761905
216,arunachal pradesh,rabi,wheat,60,30,30,7,241.78,1.18,95,103,1.084210526
217,arunachal pradesh,kharif,maize,80,40,20,5.52,1712.66,11.2,801,1442,1.800249688
218,arunachal pradesh,kharif,rice,80,40,40,5.36,1712.66,11.2,868,1050,1.209677419
219,arunachal pradesh,kharif,soyabean,20,60,20,5.62,1712.66,11.2,130,188,1.446153846
220,arunachal pradesh,kharif,sunflower,50,60,30,5.64,1712.66,11.2,80,42,0.525
221,arunachal pradesh,rabi,rapeseed,50,40,20,5.18,241.78,1.18,55,65,1.181818182
222,arunachal pradesh,rabi,wheat,60,30,30,6.5,241.78,1.18,1695,2712,1.6
223,arunachal pradesh,kharif,maize,80,40,20,5.34,1712.66,11.2,2480,3100,1.25
224,arunachal pradesh,kharif,rice,80,40,40,5.6,1712.66,11.2,5345,3700,0.692235734
225,arunachal pradesh,kharif,soyabean,20,60,20,5.52,1712.66,11.2,370,238,0.643243243
226,arunachal pradesh,kharif,sunflower,50,60,30,5.46,1712.66,11.2,12,2,0.166666667
227,arunachal pradesh,rabi,rapeseed,50,40,20,5.18,241.78,1.18,420,200,0.476190476
228,arunachal pradesh,rabi,wheat,60,30,30,6.3,241.78,1.18,15,15,1
229,arunachal pradesh,kharif,maize,80,40,20,5.42,1712.66,11.2,668,2014,3.01497006
230,arunachal pradesh,kharif,rice,80,40,40,5.6,1712.66,11.2,6200,5800,0.935483871
231,arunachal pradesh,kharif,sesamum,30,15,30,6.58,1712.66,11.2,3,2,0.666666667
232,arunachal pradesh,kharif,soyabean,20,60,20,5.56,1712.66,11.2,10,13,1.3
233,arunachal pradesh,kharif,sunflower,50,60,30,5.36,1712.66,11.2,4,2,0.5
234,arunachal pradesh,rabi,rapeseed,50,40,20,4.98,241.78,1.18,10,10,1
235,arunachal pradesh,kharif,maize,80,40,20,5.56,1712.66,11.2,796,1560,1.959798995
236,arunachal pradesh,kharif,rice,80,40,40,5.38,1712.66,11.2,3915,2750,0.702426564
237,arunachal pradesh,kharif,sesamum,30,15,30,6.48,1712.66,11.2,52,30,0.576923077
238,arunachal pradesh,kharif,soyabean,20,60,20,5.46,1712.66,11.2,71,170,2.394366197
239,arunachal pradesh,kharif,sunflower,50,60,30,5.34,1712.66,11.2,17,10,0.588235294
240,arunachal pradesh,rabi,rapeseed,50,40,20,5.02,241.78,1.18,40,50,1.25
241,arunachal pradesh,rabi,wheat,60,30,30,6.3,241.78,1.18,60,120,2
242,arunachal pradesh,kharif,maize,80,40,20,5.46,1712.66,11.2,3651,5659,1.549986305
243,arunachal pradesh,kharif,rice,80,40,40,5.42,1712.66,11.2,915,880,0.961748634
244,arunachal pradesh,kharif,soyabean,20,60,20,5.4,1712.66,11.2,25,51,2.04
245,arunachal pradesh,kharif,sunflower,50,60,30,5.66,1712.66,11.2,28,16,0.571428571
246,arunachal pradesh,rabi,rapeseed,50,40,20,4.92,241.78,1.18,95,95,1
247,arunachal pradesh,rabi,wheat,60,30,30,6.8,241.78,1.18,670,799,1.192537313
248,arunachal pradesh,kharif,maize,80,40,20,5.34,1712.66,11.2,2930,3840,1.310580205
249,arunachal pradesh,kharif,rice,80,40,40,5.54,1712.66,11.2,18750,16500,0.88
250,arunachal pradesh,kharif,sesamum,30,15,30,6.62,1712.66,11.2,67,45,0.671641791
251,arunachal pradesh,kharif,soyabean,20,60,20,5.5,1712.66,11.2,186,219,1.177419355
252,arunachal pradesh,kharif,sunflower,50,60,30,5.48,1712.66,11.2,37,16,0.432432432
253,arunachal pradesh,rabi,rapeseed,50,40,20,4.92,241.78,1.18,1250,1115,0.892
254,arunachal pradesh,rabi,wheat,60,30,30,6.12,241.78,1.18,65,65,1
255,assam,kharif,rice,80,40,40,5.36,1543.76,27.33333333,83560,43512,0.520727621
256,assam,kharif,cotton,120,40,20,5.42,1543.76,27.33333333,8,4,0.5
257,assam,kharif,jute,80,40,40,5.48,1543.76,27.33333333,8120,52544,6.470935961
258,assam,kharif,maize,80,40,20,5.46,1543.76,27.33333333,46,30,0.652173913
259,assam,rabi,rapeseed,50,40,20,4.92,127.68,20.8,25501,16865,0.661346614
260,assam,rabi,wheat,60,30,30,6.3,127.68,20.8,12675,15645,1.234319527
261,assam,summer,rice,80,40,40,5.52,497.88,25.03333333,8850,12831,1.449830508
262,assam,whole year,arecanut,100,40,140,6.18,2169.32,23.73636364,7160,5360,0.748603352
263,assam,whole year,onion,120,60,65,6.08,2169.32,23.73636364,1245,1868,1.500401606
264,assam,whole year,potato,180,60,90,5.12,2169.32,23.73636364,10610,165586,15.60659755
265,assam,whole year,sesamum,30,15,30,6.6,2169.32,23.73636364,1420,852,0.6
266,assam,whole year,sweetpotato,90,20,120,4.82,2169.32,23.73636364,849,2123,2.500588928
267,assam,whole year,tapioca,50,50,50,5.66,2169.32,23.73636364,42,210,5
268,assam,whole year,turmeric,25,60,100,4.92,2169.32,23.73636364,760,608,0.8
269,assam,rabi,rice,80,40,40,5.4,127.68,20.8,103015,76589,0.743474251
270,assam,kharif,rice,80,40,40,5.52,1543.76,27.33333333,29514,14056,0.47624856
271,assam,kharif,cotton,120,40,20,5.46,1543.76,27.33333333,11,4,0.363636364
272,assam,kharif,jute,80,40,40,5.36,1543.76,27.33333333,5925,63278,10.67983122
273,assam,kharif,maize,80,40,20,5.48,1543.76,27.33333333,375,228,0.608
274,assam,rabi,rapeseed,50,40,20,4.88,127.68,20.8,13347,8304,0.622162284
275,assam,rabi,wheat,60,30,30,6.8,127.68,20.8,5397,6458,1.196590699
276,assam,summer,rice,80,40,40,5.58,497.88,25.03333333,6366,5462,0.857995602
277,assam,whole year,arecanut,100,40,140,5.98,2169.32,23.73636364,2950,3521,1.193559322
278,assam,whole year,onion,120,60,65,5.84,2169.32,23.73636364,327,654,2
279,assam,whole year,potato,180,60,90,4.96,2169.32,23.73636364,2720,21843,8.030514706
280,assam,whole year,sesamum,30,15,30,6.36,2169.32,23.73636364,1029,552,0.536443149
281,assam,whole year,sweetpotato,90,20,120,4.84,2169.32,23.73636364,390,1170,3
282,assam,whole year,tapioca,50,50,50,5.62,2169.32,23.73636364,130,554,4.261538462
283,assam,whole year,turmeric,25,60,100,4.94,2169.32,23.73636364,516,302,0.585271318
284,assam,rabi,rice,80,40,40,5.34,127.68,20.8,56841,38596,0.679016907
285,assam,kharif,rice,80,40,40,5.4,1543.76,27.33333333,8278,7956,0.961101715
286,assam,kharif,cotton,120,40,20,5.5,1543.76,27.33333333,115,43,0.373913043
287,assam,kharif,jute,80,40,40,5.32,1543.76,27.33333333,96,917,9.552083333
288,assam,kharif,maize,80,40,20,5.64,1543.76,27.33333333,65,33,0.507692308
289,assam,rabi,rapeseed,50,40,20,4.98,127.68,20.8,1020,641,0.628431373
290,assam,rabi,wheat,60,30,30,6.6,127.68,20.8,35,45,1.285714286
291,assam,summer,rice,80,40,40,5.62,497.88,25.03333333,7200,7843,1.089305556
292,assam,whole year,arecanut,100,40,140,6,2169.32,23.73636364,4505,1058,0.234850166
